,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine,toilets:wheelchair,subway,tram,bus,railway,public_transport,PublicTraffic,What
3938,48.1532032,11.5327689,ALEX,limited,,Restaurant,"Mo-Th 08:00-01:00, Fr-Sa 08:00-02:00, Su 09:00-01:00",,,,,Fully Wheelchair Accessible,,,,,,,Restaurant
7103,48.113025,11.5925403,AROMA,yes,,Restaurant,Mo-Su 09:00-01:00,,,,,,,,,,,,Restaurant
10314,48.1111288,11.5026867,"ASAM praevent GmbH, Institut für Arbeitssicherheit, Arbeitsmedizin und Prävention",yes,,Doctors,"Mo-Th 08:30-12:00,13:00-16:30, Fr 08:30-13:00",,,https://www.asam-praevent.de/,,Fully Wheelchair Accessible,,,,,,,Doctors
4084,48.1497347,11.5343549,ASIA Restaurant (Hanshe),yes,,Restaurant,Mo-Fr 11:00-19:30,,,,Vietnamese,,,,,,,,Restaurant
10909,48.1333471,11.5342095,ASIA SHOP & Stehimbis,yes,,Fast Food,"Mo-Fr 11:00-19:30, Sa 11:00-15:00",,,,Asian,,,,,,,,Fast Food
6405,48.1312529,11.690677,ASZ Alten- und Service-Zentrum,yes,,Cafe,"Mo-Th 08:00-16:00, Fr 08:00-12:00",,,,,Fully Wheelchair Accessible,,,,,,,Cafe
2242,48.1528375,11.4165265,ASZ Neuaubing,limited,,Social Facility,"Mo-Fr 08:30-16:00, Sa 08:30-14:00",,,https://www.asz-aubing.de/de,,,,,,,,,Social Facility
13074,48.0997804,11.6331462,ATOS Starmed Klinik München,yes,,Clinic,,,,,,,,,,,,,Clinic
12352,48.1344462,11.5708023,Abacco's,yes,,Restaurant,"Mo-Th,Su 11:30-23:30, Fr,Sa 11:30-00:30",,,https://www.abaccos-steakhouse.de/muenchen.html,Steak House,Fully Wheelchair Accessible,,,,,,,Restaurant
6147,48.1338928,11.5414509,Abant,limited,2 steps at entrance,Restaurant,"Mo-Fr 11:30-01:00, Sa,Su,PH 12:00-01:00",,,https://www.abant-restaurant.de/,"Italian,Turkish",,,,,,,,Restaurant
10855,48.14106,11.5899017,Abendzeitung,yes,,Vending Machine,,,,,,,,,,,,,Vending Machine
8706,48.1221936,11.543387,Aberlestraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
3841,48.1618424,11.5885611,Abseits,limited,,Bar,,,,http://www.abseits-rockbar.de,,,,,,,,,Bar
4051,48.1581698,11.5271003,Acetaia,limited,Menue ca 65€,Restaurant,"Mo-Su 12:00-14:30, 18:30-22:30, Sa 18:30-22:30",,,,Italian,,,,,,,,Restaurant
3105,48.1648541,11.5585448,Ackermannbogen e.V.,yes,,Community Centre,,,,,,,,,,,,,Community Centre
4578,48.168243,11.5649684,Ackermannstraße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
7265,48.142097,11.6137616,Acquarello,limited,,Restaurant,,,,,Italian,,,,,,,,Restaurant
4439,48.1515364,11.5769797,Adalbert-Apotheke,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 09:00-13:00",,,https://www.barer-apotheke.de/adalbertapotheke,,,,,,,,,Pharmacy
3966,48.1061973,11.6213503,Adilostraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
5965,48.1093491,11.534253,Adunistraße,yes,,,,,,,,no,,,Bus Stop,,stop position,Bus Stop,Bus Stop
7100,48.1636583,11.5026111,Afrika- u. Madagaskarhaus,yes,,,,Attraction,,,,,,,,,,,Attraction
4344,48.1393558,11.5120857,Agnes Bernauer Apotheke,limited,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,https://www.agnes-bernauer-apotheke-muenchen.de/,,,,,,,,,Pharmacy
4099,48.1397754,11.4966634,Agnes-Bernauer-Platz,limited,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
4629,48.1393904,11.5107023,Agnes-Bernauer-Straße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
4744,48.1400611,11.495939,Agricola Apotheke,yes,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 08:30-13:00",,,https://www.agricolaapo.de/agricolaapotheke/,,,,,,,,,Pharmacy
3705,48.1392182,11.5620691,Ahorn-Apotheke,yes,,Pharmacy,"Mo-Fr 09:00-19:00, Sa 09:30-18:30",,,http://ahorn-apotheke.international,,no,,,,,,,Pharmacy
3753,48.1313493,11.5029338,Aindorferstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
11641,48.1319379,11.6910764,Akakiko,yes,,Fast Food,,,,,Japanese,,,,,,,,Fast Food
1081,48.0881935,11.6402615,Akazien Apotheke,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-12:30, Su,PH off",,,,,,,,,,,,Pharmacy
4549,48.1168977,11.5290227,Akse Döner Imbiss,yes,,Fast Food,"Mo-Sa 10:00-21:00, PH,Su 11:00-21:00",,,,"Kebab,Turkish",no,,,,,,,Fast Food
10264,48.1101234,11.5756735,Akse Fein & Food,limited,,Fast Food,"Mo-Fr 10:00-22:00, Sa,Su 13:00-22:00",,,,Kebab,,,,,,,,Fast Food
2432,48.160021,11.5779186,Al Bacio,limited,Stufe am Eingang,Cafe,"Mo-Sa 08:00-20:00, Su,PH 10:00-18:00",,,,Italian,,,,,,,,Cafe
1109,48.1218436,11.5487292,Al Tabie,limited,,Restaurant,"Mo,We,Th 11:00-14:00,17:00-22:00, Tu 11:00-14:00, Fr 11:00-22:00, PH,Sa,Su 12:00-22:00",,,,Italian,,,,,,,,Restaurant
11542,48.1848889,11.5949481,Al Vicolo,yes,,Restaurant,"Mo-Fr 11:00-14:30,17:30-23:30, Sa 16:00-23:30, Su off",,,https://al-vicolo-pizza-birra-ristorante-italiano.eatbu.com/,Italian Pizza,no,,,,,,,Restaurant
10061,48.155647,11.5404065,Albrechtstraße,limited,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
10674,48.1229622,11.6694491,Aldi eCar Ladestation,yes,,Charging Station,"Mo-Fr 08:00-20:00, Sa 08:00-20:00",,,,,,,,,,,,Charging Station
11035,48.117067,11.5389766,Aldo Zaia,yes,,Cafe,,,,,,,,,,,,,Cafe
12679,48.2127216,11.5559996,Alexandra M. Raßl,yes,,Doctors,"Mo,We,Th 13:00-16:00, Tu,Fr 8:00-12:00",,,,,,,,,,,,Doctors
2778,48.1519202,11.5272777,Alexis Sorbas,limited,,Restaurant,"Tu-Sa 17:00-24:00, Su 12:00-15:00,17:00-24:00",,,,Greek,Fully Wheelchair Accessible,,,,,,,Restaurant
10423,48.1400878,11.5364324,Ali Gemüse Döner,limited,,Fast Food,"Mo-Fr 14:00-22:00, Sa-Su 12:00-22:00",,,,Kebab,,,,,,,,Fast Food
2351,48.1213374,11.5604881,Aliki,limited,,Restaurant,"Fr,Sa 17:00-01:00, PH,We,Th,Su 17:00-24:00",,,,,,,,,,,,Restaurant
13449,48.1525673,11.5337697,Alis Gemüse Döner,yes,,Fast Food,"Mo-Fr 10:00-14:00,14:45-19:00, Sa 10:00-16:00, Su,PH off",,,,Kebab,,,,,,,,Fast Food
11489,48.1366832,11.5766099,Alis Superfood,limited,,Fast Food,,,,https://alissuperfood.com/,,,,,,,,,Fast Food
10248,48.1619997,11.5688202,All in One,yes,,Fast Food,"Mo-Su,PH 10:30-24:00",,,,Kebab,no,,,,,,,Fast Food
3932,48.1892088,11.4626977,Allacher Apotheke,yes,,Pharmacy,,,,https://www.allacher-apotheke.de,,,,,,,,,Pharmacy
9783,48.1585514,11.5868871,Alles Wurst,yes,,Biergarten,Mo-Fr 11:00-20:00,,,,,,,,,,,,Biergarten
6901,48.0878577,11.6408402,Allgemeinärzte Dr. Schmidt - Dr. Schultze-Stadhouders,yes,,Doctors,"Mo-Th 08:00-12:00,14:00-18:00, Fr 08:00-12:00",,,,,,,,,,,,Doctors
11711,48.1516083,11.5770186,Aloha Poke,limited,,Restaurant,"Mo-Sa 11:00-22:00, Su 12:00-22:00",,,https://www.aloha-poke.com,Hawaiian,,,,,,,,Restaurant
11421,48.2011789,11.6065893,Alois' Wirtshaus,yes,,Restaurant,"Su-Fr 11:00-22:00, Sa 12:00-22:00",,,,Regional,,,,,,,,Restaurant
4296,48.1325317,11.5666724,Alpen Bistro Imbiss,yes,,Fast Food,"Mo-Fr 11:30-22:00, Sa,Su 12:00-22:00",,,,Kebab,,,,,,,,Fast Food
3052,48.1382301,11.5621902,Alpen Hotel,limited,,,,Hotel,,http://www.alpenhotel-muenchen.de/,,,,,,,,,Hotel
1445,48.1510261,11.5393013,Alpha Apotheke,limited,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 09:00-13:00",,,,,,,,,,,,Pharmacy
2863,48.1797029,11.6034841,Alte Heide,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
4989,48.1321404,11.5445673,Alte Kongresshalle,yes,,Events Venue,,,,https://www.altekongresshalle.de/,,,,,,,,,Events Venue
5322,48.1330631,11.6008261,Alten- und Service-Zentrum Haidhausen,yes,,Social Facility,,,,,,Fully Wheelchair Accessible,,,,,,,Social Facility
6453,48.1151687,11.5944942,Alten- und Service-Zentrum Obergiesing,yes,,Social Facility,,,,,,Fully Wheelchair Accessible,,,,,,,Social Facility
10154,48.1470295,11.421624,Altenburgstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
1941,48.150869,11.5761839,Alter Simpl,yes,,Pub,"Mo-Fr 11:00-03:00, Sa-Su 11:00-04:00",,,,,no,,,,,,,Pub
422,48.1148829,11.6144135,Alter Wirt,limited,,Restaurant,Mo-Su 09:30-00:00,,,http://www.alterwirt-muenchen.de,Bavarian,,,,,,,,Restaurant
3664,48.1357858,11.5711774,Altes Hackerhaus,limited,,Restaurant,Mo-Su 10:00-24:00,,,,Bavarian,no,,,,,,,Restaurant
7219,48.1138736,11.5784887,Altgiesing,yes,,Bar,"We,Th 20:00-01:00, Fr,Sa 20:00-03:00",,,,,no,,,,,,,Bar
5060,48.1267349,11.6218299,Altöttinger Straße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
5441,48.1228583,11.5793322,Am Entenbach (Seniorenrestaurant),yes,,Restaurant,,,,https://www.entenbach.de/gastronomie/,,,,,,,,,Restaurant
6187,48.1328598,11.5917074,Am Gasteig,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
6931,48.1161315,11.5401275,Am Harras,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
42,48.1959252,11.5718148,Am Hart,yes,,,,,,,,,Subway Station,,,Train Station,station,"Subway Station ,Train Station","Subway Station ,Train Station"
4909,48.1454422,11.4711181,Am Knie,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
4843,48.1406639,11.5248339,Am Lokschuppen,limited,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
4916,48.1351745,11.6903081,Am Messesee,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
58,48.1762202,11.5883531,Am Münchner Tor,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
3922,48.13348,11.5685811,Am Sendlinger Tor,limited,,,,Hotel,,,,no,,,,,,,Hotel
6958,48.1523448,11.5987767,Am Tucherpark,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
9307,48.1197627,11.4786218,Am Ährenfeld,yes,,,,,,,,,,,Bus Stop,,platform,Bus Stop,Bus Stop
4038,48.1199231,11.4918924,Amadeus-Apotheke,yes,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 08:00-13:00",,,,,,,,,,,,Pharmacy
800,48.1653825,11.4945262,Amalienburgstraße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
3899,48.1477122,11.5763626,Amalienstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
10478,48.0885774,11.5592886,Amandînes et Chocolats,yes,,Cafe,"Mo-Fr 07:00-18:00, Sa,Su 07:00-16:00",,,,,,,,,,,,Cafe
9575,48.1177646,11.5825252,Ambar Bistro,yes,,Cafe,Mo-Sa 18:00-23:00,,,,Italian,,,,,,,,Cafe
8795,48.1514468,11.6406854,Amber,limited,,Restaurant,"Su 12:00-23:00, Mo-Fr 11:30-14:30,17:30-23:30, Sa 17:30-23:30",,,https://amber-restaurant.de/,Indian,no,,,,,,,Restaurant
2416,48.1381846,11.5608805,Ambiente,limited,,,,Hotel,,,,,,,,,,,Hotel
6306,48.1460464,11.5028522,Ambigon Apotheke,yes,,Pharmacy,"Mo-Fr 8:00 - 19:00,Sa 08:30-13:00",,,https://www.ambigon-apotheke.de,,,,,,,,,Pharmacy
13572,48.1274971,11.6297748,Ambulante Pflege Lebensfreude,yes,,Social Facility,,,,,,,,,,,,,Social Facility
3146,48.1511143,11.6198645,American Bar,yes,"Nicht rollstuhlgerecht, Personal aber sehr hilfreich.",Bar,,,,,,no,,,,,,,Bar
3021,48.118187,11.5160333,American Fried Chicken,yes,,Fast Food,Mo-Su 11:00-23:00,,,,"Chicken,Pizza",,,,,,,,Fast Food
6201,48.126101,11.5021174,Ammerseestraße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
4496,48.1301527,11.6155671,Ampfingstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
11403,48.1008995,11.6456313,An Minh,yes,,Restaurant,"Mo-Sa 11:00-23:00, Su 12:00-23:00",,,https://anminh.de/,Asian,,,,,,,,Restaurant
9074,48.1407972,11.6851981,An der Point,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
12168,48.1715258,11.5863792,Andaz München Schwabinger Tor,yes,,,,Hotel,,https://www.hyatt.com/de-DE/hotel/germany/andaz-munich-schwabinger-tor/mucaz,,,,,,,,,Hotel
3324,48.1382365,11.5737748,Andechser am Dom,yes,,Restaurant,"Su-We 10:00-24:00, Th-Sa 10:00-01:00",,,https://www.andechser-am-dom.de/,Regional,no,,,,,,,Restaurant
8671,48.1214517,11.5024908,Andreas-Vöst-Straße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
4372,48.1324134,11.5666325,Andy's Krablergarten,limited,Keine Behindertentoilette,Restaurant,Tu-Su 11:00-23:30,,,,Bavarian,no,,,,,,,Restaurant
10944,48.1519952,11.5646051,Angeliki's Café,limited,,Cafe,"Mo-Sa 11:00-22:00, We off, PH,Su 12:00-22:00",,,,,,,,,,,,Cafe
180,48.1816351,11.4759366,Angerloh-Apotheke,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,,,,,,,,,,Pharmacy
7544,48.1307043,11.5703982,Angertor Apotheke,yes,,Pharmacy,Mo-Fr 08:00-18:00,,,,,,,,,,,,Pharmacy
2013,48.1785077,11.5646022,Anh Tien,limited,,Restaurant,"Tu-Su 11:30-14:30, 17:30-22:30",,,https://anhtien-restaurant.de/,Vietnamese,,,,,,,,Restaurant
9364,48.1394581,11.5636207,Anna Hotel,yes,,,,Hotel,,,,,,,,,,,Hotel
4309,48.179674,11.5891615,Anni-Albers-Straße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
12929,48.156002,11.4159784,Antalya Döner Kebap,limited,,Fast Food,"""Mo-Fr 11:30-18:00 oder 19:00, Samstag noch offen, alles abhängig ob Kunden kommen (oder auch nicht)""",,,,Kebab,,,,,,,,Fast Food
5923,48.1335999,11.5366608,Antalya Imbiss,limited,,Fast Food,"Mo-Fr 10:00-20:00, Sa 11:00-16:00",,,,Kebab,,,,,,,,Fast Food
11018,48.136911,11.5587658,Antep Sofrası,yes,,Restaurant,"Mo-Th 06:00-01:00, Fr,Sa 06:00-02:00, PH 08:00-01:00",,,,,no,,,,,,,Restaurant
484,48.1285341,11.5989288,Antica,limited,,Fast Food,Mo-Sa 12:00-21:00,,,,Pizza,,,,,,,,Fast Food
1204,48.2070105,11.5351003,Antica Tropea,limited,,Restaurant,"Tu-Fr 15:00-23:00, Sa 11:00-24:00, Su 10:00-21:00",,,https://www.anticatropea-heimservice.de/,"Italian,Pizza",,,,,,,,Restaurant
12124,48.1379668,11.5645606,Anzi Kitchen,yes,,Restaurant,"Mo-Sa 11:30-22:00,Su,PH 12:00-22:00",,,https://anzikitchen.business.site,Asian,,,,,,,,Restaurant
2805,48.1210223,11.6058586,Anzinger Straße,limited,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
4266,48.1262877,11.5598159,Ao Dai,yes,,Restaurant,"Mo-Fr 11:30-14:30, Mo-Th 17:30-23:00, Fr-Sa,PH 17:30-23:30",,,https://www.aodai.de/,Vietnamese,,,,,,,,Restaurant
12219,48.1192718,11.5495525,Apollon,yes,,Bar,"Mo-Th 10:00-01:00, Fr,Sa 10:00-05:00, Su 11:00-01:00",,,,,,,,,,,,Bar
5016,48.1268938,11.5822512,Apostels,limited,,Restaurant,"Mo-Su 11:30-15:00,17:30-22:00",,,,Greek,,,,,,,,Restaurant
4342,48.1338746,11.5089521,Apostelstuben,yes,,Pub,,,,,,,,,,,,,Pub
3843,48.1609114,11.5239809,Apotheke,limited,,Pharmacy,"Mo,We,Fr 08:00-19:00, Tu,Th 08:00-20:00, Sa 08:15-12:30",,,,,,,,,,,,Pharmacy
7841,48.1397393,11.4103257,Apotheke Freiham,yes,,Pharmacy,,,,,,,,,,,,,Pharmacy
1251,48.1149439,11.5699259,Apotheke Hans Mielich,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,,,,,,,,,,Pharmacy
4294,48.1807679,11.4864369,Apotheke Hartmannshofen,limited,,Pharmacy,"Mo-Fr 08:30-13:00,14:30-18:30, Sa 08:30-12:30",,,,,,,,,,,,Pharmacy
1354,48.1783895,11.6019866,Apotheke Schwabing Nord,yes,,Pharmacy,"Mo-Fr 08:30-19:00, Sa 09:00-18:00, PH off",,,https://www.apothekeschwabingnord.de,,,,,,,,,Pharmacy
779,48.1671569,11.5780267,Apotheke am Bonner Platz,yes,,Pharmacy,"Mo-Fr 08:00-19:30, Sa 08:30-14:00",,,https://www.apotheke-am-bonner-platz-muenchen.de/,,,,,,,,,Pharmacy
2115,48.1823939,11.552924,Apotheke am Forum,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:00-13:00",,,https://www.apoforum-muenchen.de/,,,,,,,,,Pharmacy
1722,48.1314093,11.5881476,Apotheke am Gasteig,yes,,Pharmacy,"Mo-Fr 08:30-19:00, Sa,Su,PH off",,,https://www.apotheke-am-gasteig.de/,,,,,,,,,Pharmacy
324,48.1313319,11.5763334,Apotheke am Gärtnerplatz,limited,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 09:00-14:00",,,https://www.gaertnerplatz-apotheke.de,,,,,,,,,Pharmacy
4633,48.1399024,11.5327233,Apotheke am Hauptzollamt,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-12:30",,,,,,,,,,,,Pharmacy
5560,48.1496886,11.6018382,Apotheke am Kufsteiner Platz,limited,,Pharmacy,"Mo-Fr 08:15-18:30, Sa 08:15-13:00",,,,,,,,,,,,Pharmacy
6071,48.1477547,11.4612156,Apotheke am Pasinger Markt,yes,,Pharmacy,"Mo-Fr 08:00-20:00, Sa 08:30-20:00",,,https://apotheke-pasing.de/,,,,,,,,,Pharmacy
1220,48.1040828,11.5946575,Apotheke am Perlacher Forst,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,https://www.apotheke-am-perlacher-forst.de/,,,,,,,,,Pharmacy
803,48.0999488,11.6312523,Apotheke am Pfanzeltplatz,yes,,Pharmacy,"Mo-Fr 08:30-18:00, Sa 09:00-12:00",,,,,,,,,,,,Pharmacy
3846,48.0988799,11.5234846,Apotheke am Ratzingerplatz,yes,,Pharmacy,"Mo-Fr 08:30-13:00, Sa 08:30-13:00, Su off, Mo-Fr 14:00-18:30",,,,,,,,,,,,Pharmacy
861,48.1395568,11.5884171,Apotheke am Thierschplatz,yes,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 09:00-13:00",,,https://www.apotheke-am-thierschplatz.de/,,,,,,,,,Pharmacy
7954,48.1410852,11.4887064,Apotheke am Willibaldplatz,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 09:00-13:00",,,,,,,,,,,,Pharmacy
1914,48.1732215,11.5949797,Apotheke an der Berliner Straße,yes,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 08:00-13:00, PH off",,,,,,,,,,,,Pharmacy
11963,48.1370581,11.5476974,Apotheke im Forum Schwanthalerhöhe,yes,,Pharmacy,Mo-Sa 08:00-20:00,,,,,,,,,,,,Pharmacy
364,48.1267604,11.5913744,Apotheke im Franziskanerhof,yes,,Pharmacy,"Mo-Fr 08:00-18:30, Sa 09:00-13:00, PH,Su off",,,,,Fully Wheelchair Accessible,,,,,,,Pharmacy
6828,48.1523656,11.5355781,Apotheke im Karl-Albrecht-Hof,yes,,Pharmacy,"Mo,Tu,Th 08:30-18:30, We,Fr 08:30-18:00",,,,,,,,,,,,Pharmacy
1714,48.1362444,11.5792107,Apotheke im Tal,yes,,Pharmacy,"Mo-Fr 08:30-19:30, Sa 08:30-18:00",,,https://www.apotheke-im-tal-muenchen.de,,,,,,,,,Pharmacy
4517,48.148155,11.5528143,Aquamarina,limited,,Restaurant,Mo-Fr 10:00-14:00,,,,Italian,,,,,,,,Restaurant
1587,48.1513384,11.6185772,Arabella-Apotheke,yes,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-12:30",,,,,,,,,,,,Pharmacy
5046,48.1505312,11.6184584,Arabella-Klinik,limited,,Hospital,,,,https://arabellaklinik.de/,,,,,,,,,Hospital
298,48.1534607,11.6220687,Arabellapark,limited,,,,,,,,,Subway Station,,,,stop position,Subway Station,Subway Station
7054,48.1535974,11.6205884,Arabellapark Nord,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
1634,48.1538288,11.6228348,Arabellapark/Klinikum Bogenhausen,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
5905,48.1535193,11.6187898,Arabellastraße,yes,,,,,,,,,,Tram Stop,,,stop position,Tram Stop,Tram Stop
5472,48.1548528,11.5856125,Arabesk,limited,"kleine Schwellen, enger Eingang, kein Rolli-WC",Restaurant,"Mo-Fr 12:00-15:00, 18:00-01:00, Sa 18:00-03:00, Su 18:00-00:00",,,http://www.arabesk.de/,Lebanese,,,,,,,,Restaurant
7090,48.1638829,11.5024259,"Araceen, Bromelien",yes,,,,Attraction,,,,,,,,,,,Attraction
9565,48.1401462,11.5358256,Arano Restaurant,yes,,Restaurant,"Mo-Fr 11:00-15:00, 16:00-00:00, Sa-Su 16:00-00:00",,,,Italian,,,,,,,,Restaurant
8775,48.1762645,11.5052646,Arche Noris Moosach,yes,,Social Facility,,,,https://www.archenoris.net/einrichtungen/pflegezentrum-moosach/,,,,,,,,,Social Facility
281,48.1516731,11.5709873,Arcisstraße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
904,48.1400263,11.5883931,Arisu,limited,,Restaurant,"Mo-Fr 11:00-15:00,18:00-22:00, Sa 18:00-22:00",,,https://www.a-ri-su.de/,Korean,,,,,,,,Restaurant
3551,48.1520537,11.5290527,Arkadaş Kebap Haus,limited,,Fast Food,,,,,Kebab,,,,,,,,Fast Food
11030,48.1364688,11.556457,Arkadi,yes,,Restaurant,Mo-Su 09:00-01:00,,,,Greek,no,,,,,,,Restaurant
6868,48.163952,11.4960235,Arktis,yes,,,,Attraction,,,,,,,,,,,Attraction
1900,48.1511081,11.6089853,Arnika-Apotheke,yes,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 08:00-13:00",,,,,,,,,,,,Pharmacy
4611,48.1277561,11.5565113,Aroma,limited,,Pub,,,,,,,,,,,,,Pub
11855,48.0980254,11.5581139,Artenschutzzentrum,yes,,,,Attraction,,,,,,,,,,,Attraction
2116,48.1818393,11.5529922,Arthotel ANA im Olympiapark,yes,,,,Hotel,,https://ana-hotels.com/olympiapark-muenchen,,,,,,,,,Hotel
4701,48.1353503,11.5738514,Artothek & Bildersaal,yes,Zugang ebenerdig von der Ecke Rosental / Oberanger. 2 Behindertenparkplätze am Rindermarkt 17 sowie in der Tiefgarage Oberanger. Kein barrierefreies WC,Arts Centre,"We,Fr 14:00-18:00, Th 13:00-19:00, Sa 09:30-13:00",,,https://www.muenchen.de/sehenswuerdigkeiten/artothek-bildersaal,,no,,,,,,,Arts Centre
10543,48.14128,11.577031,Arzthaus Theatinerstraße 29,yes,arzthaus,Doctors,,,,,,,,,,,,,Doctors
8454,48.1435732,11.5038147,Asado Steak,yes,Voll rollstuhlgerechte. Zum WC muss man mehrere schwere Türen öffnen.,Restaurant,"Mo-Fr 11:00-15:00,17:30-23:00, Sa,Su 11:00-23:00",,,,Steak House,Fully Wheelchair Accessible,,,,,,,Restaurant
2887,48.1944175,11.5976535,Asahi 2 Take,yes,,Fast Food,Mo-Sa 09:00-20:00,,,,,,,,,,,,Fast Food
3648,48.1344709,11.5687768,Asam-Apotheke,yes,,Pharmacy,"Mo-Fr 08:15-19:00, Sa 09:00-18:00",,,,,no,,,,,,,Pharmacy
701,48.0952758,11.5425017,Asam-Schlössl,limited,Rolli-WC vorhanden.,Restaurant,Mo-Su 11:00-01:00,,,https://www.asamschloessl.de/,Bavarian,,,,,,,,Restaurant
4240,48.1215374,11.6130121,Aschheimer Straße,yes,,,,,,,,,,,Bus Stop,,stop position,Bus Stop,Bus Stop
