,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine
10909,48.1333471,11.5342095,ASIA SHOP & Stehimbis,Fully Wheelchair Accessible,,Fast Food,"Mo-Fr 11:00-19:30, Sa 11:00-15:00",,,,Asian
6405,48.1312529,11.690677,ASZ Alten- und Service-Zentrum,Fully Wheelchair Accessible,,Cafe,"Mo-Th 08:00-16:00, Fr 08:00-12:00",,,,
2242,48.1528375,11.4165265,ASZ Neuaubing,Partially Wheelchair Accessible,,Social_Facility,"Mo-Fr 08:30-16:00, Sa 08:30-14:00",,,https://www.asz-aubing.de/de,
13074,48.0997804,11.6331462,ATOS Starmed Klinik München,Fully Wheelchair Accessible,,Clinic,,,,,
12352,48.1344462,11.5708023,Abacco's,Fully Wheelchair Accessible,,Restaurant,"Mo-Th,Su 11:30-23:30, Fr,Sa 11:30-00:30",,,https://www.abaccos-steakhouse.de/muenchen.html,Steak_House
6147,48.1338928,11.5414509,Abant,Partially Wheelchair Accessible,2 steps at entrance,Restaurant,"Mo-Fr 11:30-01:00, Sa,Su,PH 12:00-01:00",,,https://www.abant-restaurant.de/,"Italian,Turkish"
10855,48.14106,11.5899017,Abendzeitung,Fully Wheelchair Accessible,,Vending_Machine,,,,,
3841,48.1618424,11.5885611,Abseits,Partially Wheelchair Accessible,,Bar,,,,http://www.abseits-rockbar.de,
4051,48.1581698,11.5271003,Acetaia,Partially Wheelchair Accessible,Menue ca 65€,Restaurant,"Mo-Su 12:00-14:30, 18:30-22:30, Sa 18:30-22:30",,,,Italian
3105,48.1648541,11.5585448,Ackermannbogen e.V.,Fully Wheelchair Accessible,,Community_Centre,,,,,
7265,48.142097,11.6137616,Acquarello,Partially Wheelchair Accessible,,Restaurant,,,,,Italian
4439,48.1515364,11.5769797,Adalbert-Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 09:00-13:00",,,https://www.barer-apotheke.de/adalbertapotheke,
7100,48.1636583,11.5026111,Afrika- u. Madagaskarhaus,Fully Wheelchair Accessible,,,,Attraction,,,
4344,48.1393558,11.5120857,Agnes Bernauer Apotheke,Partially Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,https://www.agnes-bernauer-apotheke-muenchen.de/,
4744,48.1400611,11.495939,Agricola Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 08:30-13:00",,,https://www.agricolaapo.de/agricolaapotheke/,
3705,48.1392182,11.5620691,Ahorn-Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 09:00-19:00, Sa 09:30-18:30",,,http://ahorn-apotheke.international,
11641,48.1319379,11.6910764,Akakiko,Fully Wheelchair Accessible,,Fast Food,,,,,Japanese
1081,48.0881935,11.6402615,Akazien Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-12:30, Su,PH off",,,,
4549,48.1168977,11.5290227,Akse Döner Imbiss,Fully Wheelchair Accessible,,Fast Food,"Mo-Sa 10:00-21:00, PH,Su 11:00-21:00",,,,"Kebab,Turkish"
10264,48.1101234,11.5756735,Akse Fein & Food,Partially Wheelchair Accessible,,Fast Food,"Mo-Fr 10:00-22:00, Sa,Su 13:00-22:00",,,,Kebab
2432,48.160021,11.5779186,Al Bacio,Partially Wheelchair Accessible,Stufe am Eingang,Cafe,"Mo-Sa 08:00-20:00, Su,PH 10:00-18:00",,,,Italian
1109,48.1218436,11.5487292,Al Tabie,Partially Wheelchair Accessible,,Restaurant,"Mo,We,Th 11:00-14:00,17:00-22:00, Tu 11:00-14:00, Fr 11:00-22:00, PH,Sa,Su 12:00-22:00",,,,Italian
11542,48.1848889,11.5949481,Al Vicolo,Fully Wheelchair Accessible,,Restaurant,"Mo-Fr 11:00-14:30,17:30-23:30, Sa 16:00-23:30, Su off",,,https://al-vicolo-pizza-birra-ristorante-italiano.eatbu.com/,Italian_Pizza
10674,48.1229622,11.6694491,Aldi eCar Ladestation,Fully Wheelchair Accessible,,Charging_Station,"Mo-Fr 08:00-20:00, Sa 08:00-20:00",,,,
11035,48.117067,11.5389766,Aldo Zaia,Fully Wheelchair Accessible,,Cafe,,,,,
12679,48.2127216,11.5559996,Alexandra M. Raßl,Fully Wheelchair Accessible,,Doctors,"Mo,We,Th 13:00-16:00, Tu,Fr 8:00-12:00",,,,
2778,48.1519202,11.5272777,Alexis Sorbas,Partially Wheelchair Accessible,,Restaurant,"Tu-Sa 17:00-24:00, Su 12:00-15:00,17:00-24:00",,,,Greek
10423,48.1400878,11.5364324,Ali Gemüse Döner,Partially Wheelchair Accessible,,Fast Food,"Mo-Fr 14:00-22:00, Sa-Su 12:00-22:00",,,,Kebab
2351,48.1213374,11.5604881,Aliki,Partially Wheelchair Accessible,,Restaurant,"Fr,Sa 17:00-01:00, PH,We,Th,Su 17:00-24:00",,,,
13449,48.1525673,11.5337697,Alis Gemüse Döner,Fully Wheelchair Accessible,,Fast Food,"Mo-Fr 10:00-14:00,14:45-19:00, Sa 10:00-16:00, Su,PH off",,,,Kebab
11489,48.1366832,11.5766099,Alis Superfood,Partially Wheelchair Accessible,,Fast Food,,,,https://alissuperfood.com/,
10248,48.1619997,11.5688202,All in One,Fully Wheelchair Accessible,,Fast Food,"Mo-Su,PH 10:30-24:00",,,,Kebab
3932,48.1892088,11.4626977,Allacher Apotheke,Fully Wheelchair Accessible,,Pharmacy,,,,https://www.allacher-apotheke.de,
9783,48.1585514,11.5868871,Alles Wurst,Fully Wheelchair Accessible,,Biergarten,Mo-Fr 11:00-20:00,,,,
6901,48.0878577,11.6408402,Allgemeinärzte Dr. Schmidt - Dr. Schultze-Stadhouders,Fully Wheelchair Accessible,,Doctors,"Mo-Th 08:00-12:00,14:00-18:00, Fr 08:00-12:00",,,,
11711,48.1516083,11.5770186,Aloha Poke,Partially Wheelchair Accessible,,Restaurant,"Mo-Sa 11:00-22:00, Su 12:00-22:00",,,https://www.aloha-poke.com,Hawaiian
11421,48.2011789,11.6065893,Alois' Wirtshaus,Fully Wheelchair Accessible,,Restaurant,"Su-Fr 11:00-22:00, Sa 12:00-22:00",,,,Regional
4296,48.1325317,11.5666724,Alpen Bistro Imbiss,Fully Wheelchair Accessible,,Fast Food,"Mo-Fr 11:30-22:00, Sa,Su 12:00-22:00",,,,Kebab
3052,48.1382301,11.5621902,Alpen Hotel,Partially Wheelchair Accessible,,,,Hotel,,http://www.alpenhotel-muenchen.de/,
1445,48.1510261,11.5393013,Alpha Apotheke,Partially Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 09:00-13:00",,,,
4989,48.1321404,11.5445673,Alte Kongresshalle,Fully Wheelchair Accessible,,Events_Venue,,,,https://www.altekongresshalle.de/,
5322,48.1330631,11.6008261,Alten- und Service-Zentrum Haidhausen,Fully Wheelchair Accessible,,Social_Facility,,,,,
6453,48.1151687,11.5944942,Alten- und Service-Zentrum Obergiesing,Fully Wheelchair Accessible,,Social_Facility,,,,,
1941,48.150869,11.5761839,Alter Simpl,Fully Wheelchair Accessible,,Pub,"Mo-Fr 11:00-03:00, Sa-Su 11:00-04:00",,,,
422,48.1148829,11.6144135,Alter Wirt,Partially Wheelchair Accessible,,Restaurant,Mo-Su 09:30-00:00,,,http://www.alterwirt-muenchen.de,Bavarian
3664,48.1357858,11.5711774,Altes Hackerhaus,Partially Wheelchair Accessible,,Restaurant,Mo-Su 10:00-24:00,,,,Bavarian
7219,48.1138736,11.5784887,Altgiesing,Fully Wheelchair Accessible,,Bar,"We,Th 20:00-01:00, Fr,Sa 20:00-03:00",,,,
5441,48.1228583,11.5793322,Am Entenbach (Seniorenrestaurant),Fully Wheelchair Accessible,,Restaurant,,,,https://www.entenbach.de/gastronomie/,
3922,48.13348,11.5685811,Am Sendlinger Tor,Partially Wheelchair Accessible,,,,Hotel,,,
4038,48.1199231,11.4918924,Amadeus-Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 08:00-13:00",,,,
10478,48.0885774,11.5592886,Amandînes et Chocolats,Fully Wheelchair Accessible,,Cafe,"Mo-Fr 07:00-18:00, Sa,Su 07:00-16:00",,,,
9575,48.1177646,11.5825252,Ambar Bistro,Fully Wheelchair Accessible,,Cafe,Mo-Sa 18:00-23:00,,,,Italian
8795,48.1514468,11.6406854,Amber,Partially Wheelchair Accessible,,Restaurant,"Su 12:00-23:00, Mo-Fr 11:30-14:30,17:30-23:30, Sa 17:30-23:30",,,https://amber-restaurant.de/,Indian
2416,48.1381846,11.5608805,Ambiente,Partially Wheelchair Accessible,,,,Hotel,,,
6306,48.1460464,11.5028522,Ambigon Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 8:00 - 19:00,Sa 08:30-13:00",,,https://www.ambigon-apotheke.de,
13572,48.1274971,11.6297748,Ambulante Pflege Lebensfreude,Fully Wheelchair Accessible,,Social_Facility,,,,,
3146,48.1511143,11.6198645,American Bar,Fully Wheelchair Accessible,"Nicht rollstuhlgerecht, Personal aber sehr hilfreich.",Bar,,,,,
3021,48.118187,11.5160333,American Fried Chicken,Fully Wheelchair Accessible,,Fast Food,Mo-Su 11:00-23:00,,,,"Chicken,Pizza"
11403,48.1008995,11.6456313,An Minh,Fully Wheelchair Accessible,,Restaurant,"Mo-Sa 11:00-23:00, Su 12:00-23:00",,,https://anminh.de/,Asian
12168,48.1715258,11.5863792,Andaz München Schwabinger Tor,Fully Wheelchair Accessible,,,,Hotel,,https://www.hyatt.com/de-DE/hotel/germany/andaz-munich-schwabinger-tor/mucaz,
3324,48.1382365,11.5737748,Andechser am Dom,Fully Wheelchair Accessible,,Restaurant,"Su-We 10:00-24:00, Th-Sa 10:00-01:00",,,https://www.andechser-am-dom.de/,Regional
4372,48.1324134,11.5666325,Andy's Krablergarten,Partially Wheelchair Accessible,Keine Behindertentoilette,Restaurant,Tu-Su 11:00-23:30,,,,Bavarian
10944,48.1519952,11.5646051,Angeliki's Café,Partially Wheelchair Accessible,,Cafe,"Mo-Sa 11:00-22:00, We off, PH,Su 12:00-22:00",,,,
180,48.1816351,11.4759366,Angerloh-Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,,
7544,48.1307043,11.5703982,Angertor Apotheke,Fully Wheelchair Accessible,,Pharmacy,Mo-Fr 08:00-18:00,,,,
2013,48.1785077,11.5646022,Anh Tien,Partially Wheelchair Accessible,,Restaurant,"Tu-Su 11:30-14:30, 17:30-22:30",,,https://anhtien-restaurant.de/,Vietnamese
9364,48.1394581,11.5636207,Anna Hotel,Fully Wheelchair Accessible,,,,Hotel,,,
12929,48.156002,11.4159784,Antalya Döner Kebap,Partially Wheelchair Accessible,,Fast Food,"""Mo-Fr 11:30-18:00 oder 19:00, Samstag noch offen, alles abhängig ob Kunden kommen (oder auch nicht)""",,,,Kebab
5923,48.1335999,11.5366608,Antalya Imbiss,Partially Wheelchair Accessible,,Fast Food,"Mo-Fr 10:00-20:00, Sa 11:00-16:00",,,,Kebab
11018,48.136911,11.5587658,Antep Sofrası,Fully Wheelchair Accessible,,Restaurant,"Mo-Th 06:00-01:00, Fr,Sa 06:00-02:00, PH 08:00-01:00",,,,
484,48.1285341,11.5989288,Antica,Partially Wheelchair Accessible,,Fast Food,Mo-Sa 12:00-21:00,,,,Pizza
1204,48.2070105,11.5351003,Antica Tropea,Partially Wheelchair Accessible,,Restaurant,"Tu-Fr 15:00-23:00, Sa 11:00-24:00, Su 10:00-21:00",,,https://www.anticatropea-heimservice.de/,"Italian,Pizza"
12124,48.1379668,11.5645606,Anzi Kitchen,Fully Wheelchair Accessible,,Restaurant,"Mo-Sa 11:30-22:00,Su,PH 12:00-22:00",,,https://anzikitchen.business.site,Asian
4266,48.1262877,11.5598159,Ao Dai,Fully Wheelchair Accessible,,Restaurant,"Mo-Fr 11:30-14:30, Mo-Th 17:30-23:00, Fr-Sa,PH 17:30-23:30",,,https://www.aodai.de/,Vietnamese
12219,48.1192718,11.5495525,Apollon,Fully Wheelchair Accessible,,Bar,"Mo-Th 10:00-01:00, Fr,Sa 10:00-05:00, Su 11:00-01:00",,,,
5016,48.1268938,11.5822512,Apostels,Partially Wheelchair Accessible,,Restaurant,"Mo-Su 11:30-15:00,17:30-22:00",,,,Greek
4342,48.1338746,11.5089521,Apostelstuben,Fully Wheelchair Accessible,,Pub,,,,,
3843,48.1609114,11.5239809,Apotheke,Partially Wheelchair Accessible,,Pharmacy,"Mo,We,Fr 08:00-19:00, Tu,Th 08:00-20:00, Sa 08:15-12:30",,,,
7841,48.1397393,11.4103257,Apotheke Freiham,Fully Wheelchair Accessible,,Pharmacy,,,,,
1251,48.1149439,11.5699259,Apotheke Hans Mielich,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,,
4294,48.1807679,11.4864369,Apotheke Hartmannshofen,Partially Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-13:00,14:30-18:30, Sa 08:30-12:30",,,,
1354,48.1783895,11.6019866,Apotheke Schwabing Nord,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-19:00, Sa 09:00-18:00, PH off",,,https://www.apothekeschwabingnord.de,
779,48.1671569,11.5780267,Apotheke am Bonner Platz,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:00-19:30, Sa 08:30-14:00",,,https://www.apotheke-am-bonner-platz-muenchen.de/,
2115,48.1823939,11.552924,Apotheke am Forum,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:00-13:00",,,https://www.apoforum-muenchen.de/,
1722,48.1314093,11.5881476,Apotheke am Gasteig,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-19:00, Sa,Su,PH off",,,https://www.apotheke-am-gasteig.de/,
324,48.1313319,11.5763334,Apotheke am Gärtnerplatz,Partially Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 09:00-14:00",,,https://www.gaertnerplatz-apotheke.de,
4633,48.1399024,11.5327233,Apotheke am Hauptzollamt,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-12:30",,,,
5560,48.1496886,11.6018382,Apotheke am Kufsteiner Platz,Partially Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:15-18:30, Sa 08:15-13:00",,,,
6071,48.1477547,11.4612156,Apotheke am Pasinger Markt,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:00-20:00, Sa 08:30-20:00",,,https://apotheke-pasing.de/,
1220,48.1040828,11.5946575,Apotheke am Perlacher Forst,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-13:00",,,https://www.apotheke-am-perlacher-forst.de/,
803,48.0999488,11.6312523,Apotheke am Pfanzeltplatz,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:00, Sa 09:00-12:00",,,,
3846,48.0988799,11.5234846,Apotheke am Ratzingerplatz,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-13:00, Sa 08:30-13:00, Su off, Mo-Fr 14:00-18:30",,,,
861,48.1395568,11.5884171,Apotheke am Thierschplatz,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 09:00-13:00",,,https://www.apotheke-am-thierschplatz.de/,
7954,48.1410852,11.4887064,Apotheke am Willibaldplatz,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 09:00-13:00",,,,
1914,48.1732215,11.5949797,Apotheke an der Berliner Straße,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 08:00-13:00, PH off",,,,
11963,48.1370581,11.5476974,Apotheke im Forum Schwanthalerhöhe,Fully Wheelchair Accessible,,Pharmacy,Mo-Sa 08:00-20:00,,,,
364,48.1267604,11.5913744,Apotheke im Franziskanerhof,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:00-18:30, Sa 09:00-13:00, PH,Su off",,,,
6828,48.1523656,11.5355781,Apotheke im Karl-Albrecht-Hof,Fully Wheelchair Accessible,,Pharmacy,"Mo,Tu,Th 08:30-18:30, We,Fr 08:30-18:00",,,,
1714,48.1362444,11.5792107,Apotheke im Tal,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-19:30, Sa 08:30-18:00",,,https://www.apotheke-im-tal-muenchen.de,
4517,48.148155,11.5528143,Aquamarina,Partially Wheelchair Accessible,,Restaurant,Mo-Fr 10:00-14:00,,,,Italian
1587,48.1513384,11.6185772,Arabella-Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:30-18:30, Sa 08:30-12:30",,,,
5046,48.1505312,11.6184584,Arabella-Klinik,Partially Wheelchair Accessible,,Hospital,,,,https://arabellaklinik.de/,
5472,48.1548528,11.5856125,Arabesk,Partially Wheelchair Accessible,"kleine Schwellen, enger Eingang, kein Rolli-WC",Restaurant,"Mo-Fr 12:00-15:00, 18:00-01:00, Sa 18:00-03:00, Su 18:00-00:00",,,http://www.arabesk.de/,Lebanese
7090,48.1638829,11.5024259,"Araceen, Bromelien",Fully Wheelchair Accessible,,,,Attraction,,,
9565,48.1401462,11.5358256,Arano Restaurant,Fully Wheelchair Accessible,,Restaurant,"Mo-Fr 11:00-15:00, 16:00-00:00, Sa-Su 16:00-00:00",,,,Italian
8775,48.1762645,11.5052646,Arche Noris Moosach,Fully Wheelchair Accessible,,Social_Facility,,,,https://www.archenoris.net/einrichtungen/pflegezentrum-moosach/,
904,48.1400263,11.5883931,Arisu,Partially Wheelchair Accessible,,Restaurant,"Mo-Fr 11:00-15:00,18:00-22:00, Sa 18:00-22:00",,,https://www.a-ri-su.de/,Korean
3551,48.1520537,11.5290527,Arkadaş Kebap Haus,Partially Wheelchair Accessible,,Fast Food,,,,,Kebab
11030,48.1364688,11.556457,Arkadi,Fully Wheelchair Accessible,,Restaurant,Mo-Su 09:00-01:00,,,,Greek
6868,48.163952,11.4960235,Arktis,Fully Wheelchair Accessible,,,,Attraction,,,
1900,48.1511081,11.6089853,Arnika-Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:00-19:00, Sa 08:00-13:00",,,,
4611,48.1277561,11.5565113,Aroma,Partially Wheelchair Accessible,,Pub,,,,,
11855,48.0980254,11.5581139,Artenschutzzentrum,Fully Wheelchair Accessible,,,,Attraction,,,
2116,48.1818393,11.5529922,Arthotel ANA im Olympiapark,Fully Wheelchair Accessible,,,,Hotel,,https://ana-hotels.com/olympiapark-muenchen,
4701,48.1353503,11.5738514,Artothek & Bildersaal,Fully Wheelchair Accessible,Zugang ebenerdig von der Ecke Rosental / Oberanger. 2 Behindertenparkplätze am Rindermarkt 17 sowie in der Tiefgarage Oberanger. Kein barrierefreies WC,Arts_Centre,"We,Fr 14:00-18:00, Th 13:00-19:00, Sa 09:30-13:00",,,https://www.muenchen.de/sehenswuerdigkeiten/artothek-bildersaal,
10543,48.14128,11.577031,Arzthaus Theatinerstraße 29,Fully Wheelchair Accessible,arzthaus,Doctors,,,,,
8454,48.1435732,11.5038147,Asado Steak,Fully Wheelchair Accessible,Voll rollstuhlgerechte. Zum WC muss man mehrere schwere Türen öffnen.,Restaurant,"Mo-Fr 11:00-15:00,17:30-23:00, Sa,Su 11:00-23:00",,,,Steak_House
2887,48.1944175,11.5976535,Asahi 2 Take,Fully Wheelchair Accessible,,Fast Food,Mo-Sa 09:00-20:00,,,,
3648,48.1344709,11.5687768,Asam-Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:15-19:00, Sa 09:00-18:00",,,,
701,48.0952758,11.5425017,Asam-Schlössl,Partially Wheelchair Accessible,Rolli-WC vorhanden.,Restaurant,Mo-Su 11:00-01:00,,,https://www.asamschloessl.de/,Bavarian
4706,48.1255134,11.5499525,Asia,Partially Wheelchair Accessible,,Restaurant,Mo-Sa 10:00-21:00,,,,Asian
2626,48.1514571,11.5765694,Asia Imbiss,Fully Wheelchair Accessible,,Fast Food,"Mo-Fr 10:00-20:00, Sa 10:00-18:00",,,,Asian
12421,48.1392441,11.5621668,Asia Viet,Partially Wheelchair Accessible,,Restaurant,Mo-Su 11:00-22:00,,,,Asian
13025,48.1169068,11.5291424,Asia in Sendling,Fully Wheelchair Accessible,,Restaurant,"Mo-Fr,Su 11:00-21:00",,,,Asian
6750,48.1519667,11.5788338,Asia wok,Fully Wheelchair Accessible,,Fast Food,,,,,Asian
11624,48.1005492,11.6442628,Asiahung,Fully Wheelchair Accessible,,Fast Food,,,,,Asian
8139,48.1811219,11.5529867,Asian Kitchen,Partially Wheelchair Accessible,,Fast Food,"Mo-Sa 11:00-21:00, PH, Su off",,,,Asian
9828,48.1496439,11.5725812,Asian Street Food,Partially Wheelchair Accessible,,Fast Food,"Mo-Sa 12:00-15:00,17:00-22:30, Su 12:00-22:00",,,https://www.bepbu.info/,Asian
9921,48.1388811,11.5557548,Asiatoday,Partially Wheelchair Accessible,,Fast Food,"Mo-Fr 11:00-14:30,17:00-22:00, Sa 17:00-22:30, Su 12:30-22:30",,,,"Sushi,Asian"
1152,48.1439026,11.5370366,Asphaltsee,Fully Wheelchair Accessible,,,,Artwork,,https://www.koch-studio.com/arbeiten/asphaltsee/,
2194,48.1369012,11.5636997,Atelier,Partially Wheelchair Accessible,"Kino 1 stufenlos, Kino 2 eine Stufe",Cinema,"Mo-Fr 16:30-24:00, Sa 00:00-01:00,14:30-01:00, Su 14:30-24:00",,,https://www.city-kinos.de/,
6307,48.1272972,11.5926383,Atelier Gourmet,Partially Wheelchair Accessible,Nur die Freischrankfläche ist ohne Stufen erreichbar.,Restaurant,Mo-Sa 18:00-01:00,,,,French
1468,48.1491779,11.5486302,Athene,Partially Wheelchair Accessible,,Restaurant,"Mo-Sa 11:30-15:00, 17:30-00:00",,,https://www.athene-muenchen.de,Greek
11015,48.1362858,11.5566162,Atlas,Fully Wheelchair Accessible,,,,Hotel,,,
11031,48.1373341,11.5561751,Atlas Residence,Partially Wheelchair Accessible,,,,Hotel,,,
13078,48.0998068,11.6322604,Atos Orthopädie Dr. Schettle,Fully Wheelchair Accessible,,Clinic,,,,,
13395,48.0997673,11.6325239,Atos Starmed Physiotherapie,Fully Wheelchair Accessible,,Hospital,,,,,
829,48.1461933,11.6406721,Atrium Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Fr 08:00-18:30, Sa 08:30-13:00",,,,
1492,48.1236815,11.54516,Atriumhaus,Partially Wheelchair Accessible,,Hospital,,,,https://kbo-iak.de/standorte/kbo-klinik-fuer-psychiatrie-und-psychotherapie-haar-atriumhaus,
9597,48.1173935,11.5841239,Attentat Griechischer Salat,Partially Wheelchair Accessible,,Pub,Mo-Su 17:30-01:00,,,,
2203,48.1494996,11.5781731,Atzinger,Fully Wheelchair Accessible,,Restaurant,"Mo-We 17:00-23:00, Th-Sa 12:00-01:00, Su 12:00-22:00",,,,Bavarian
4108,48.1599118,11.4152758,Aubinger Herzl,Partially Wheelchair Accessible,,Cafe,Mo-Su 09:00-18:00,,,,
1990,48.1589832,11.4145882,Aubinger's Zwicklwirt,Partially Wheelchair Accessible,,Restaurant,"Mo-Fr 11:00-22:00, Sa 17:00-22:00, Su 10:00-21:00",,,,"Croatian,Bavarian"
7553,48.1256974,11.5705868,Auen-Backshop,Partially Wheelchair Accessible,Am Eingang eine kleine Stufe (10cm). Im Innenraum sehr wenige Lauf- bzw Wendefläche.,Cafe,"Mo-Fr 06:30-17:00, Sa 07:00-13:00, Su 08:00-11:00, PH off",,,,Cake
5435,48.1258995,11.5836379,Auer-Dult,Fully Wheelchair Accessible,,,,Attraction,,,
405,48.1238125,11.5960401,Auerfeld,Partially Wheelchair Accessible,,Pub,,,,,
5464,48.1575271,11.5850472,Augenarztpraxis,Partially Wheelchair Accessible,"Kleine Schwellen, Lift, kein Rolli-WC, Räume z.T. etwas eng",Doctors,"Mo 10:00-12:00,16:00-18:00, Tu 10:00-12:00,15:00-17:00, Th 15:00-17:00",,,,
13689,48.1166597,11.5816443,Augenärztin A.M. Karakas,Fully Wheelchair Accessible,,Doctors,"Mo,Tu,Fr 09:00-13:00, Mo 14:30-18:00, Th 14:00-18:00",,,https://www.augen-arzt-muenchen.de/,
11644,48.0874314,11.4852603,Augenärztliche Gemeinschaftpraxis,Fully Wheelchair Accessible,,Doctors,"Mo-Th 08:00-18:00, Fr 08:00-13:00, Su,PH off",,,https://www.augenarzt-muenchen.eu/,
8043,48.1442706,11.5599493,Augusten Hotel,Fully Wheelchair Accessible,,,,Hotel,,https://www.augustenhotel.de/,
112,48.1392055,11.5456469,Augustiner Bräustuben,Partially Wheelchair Accessible,,Restaurant,Mo-Su 10:00-24:00,,,,Bavarian
2031,48.1359951,11.5375122,Augustiner Bürgerheim,Partially Wheelchair Accessible,,Restaurant,Mo-Su 10:00-01:00,,,,Bavarian
